date,pri_supp_t,pri_back_t,pri_flow,sec_supp_t,sec_back_t,sec_flow,outdoor,indoor,irradiance
2021-12-09 06:10:00,69.893,32.356,5.681,35.188,31.781,62.3159999999999,3.25,23.9705128205128,1.05
2021-12-09 06:20:00,69.844,32.356,5.723,35.196,31.7849999999999,62.6339999999999,3.3,24.0097435897435,2.1
2021-12-09 06:30:00,69.8669999999999,32.363,5.80899999999999,35.207,31.764,62.937,3.35,23.9817948717948,3.1500000000000004
2021-12-09 06:40:00,69.84,32.368,5.79099999999999,35.2149999999999,31.788,62.895,3.4,24.0258974358974,4.2
2021-12-09 06:50:00,69.8049999999999,32.362,5.73799999999999,35.208,31.799,62.705,3.45,24.0281578947368,5.25
2021-12-09 07:00:00,69.649,32.364,5.805,35.218,31.8089999999999,63.126,3.5,24.0161538461538,6.3
2021-12-09 07:10:00,69.378,32.37,5.883,35.2399999999999,31.78,62.54,3.68333333333333,24.0302564102564,18.732666666666667
2021-12-09 07:20:00,69.186,32.382,5.954,35.259,31.7969999999999,62.991,3.86666666666666,23.9592105263157,31.165333333333336
2021-12-09 07:30:00,69.0839999999999,32.37,5.95999999999999,35.256,31.807,63.064,4.05,24.0028947368421,43.598
2021-12-09 07:40:00,69.044,32.386,5.885,35.2399999999999,31.7849999999999,62.01,4.23333333333333,23.9051282051282,56.03066666666667
2021-12-09 07:50:00,69.074,32.374,5.955,35.205,31.7769999999999,63.312,4.41666666666666,23.9162499999999,68.46333333333334
2021-12-09 08:00:00,69.095,32.4049999999999,6.005,35.32,31.796,62.1449999999999,4.6,23.8699999999999,80.896
2021-12-09 08:10:00,68.861,32.4049999999999,5.933,35.25,31.7969999999999,62.3169999999999,4.36666666666666,23.84075,103.96433333333334
2021-12-09 08:20:00,68.514,32.427,6.018,35.277,31.788,62.032,4.13333333333333,23.830975609756,127.03266666666667
2021-12-09 08:30:00,68.096,32.431,6.106,35.282,31.7969999999999,62.101,3.9,23.7579069767441,150.101
2021-12-09 08:40:00,67.893,32.387,6.211,35.2159999999999,31.731,62.824,3.66666666666666,23.8325581395348,173.16933333333336
2021-12-09 08:50:00,68.051,32.3949999999999,6.278,35.271,31.743,62.938,3.43333333333333,23.7173809523809,196.2376666666667
2021-12-09 09:00:00,68.092,32.444,6.47,35.4039999999999,31.7589999999999,62.9809999999999,3.2,23.8635714285714,219.306
2021-12-09 09:10:00,67.708,32.434,6.349,35.337,31.754,62.344,3.48333333333333,23.8975609756097,240.909
2021-12-09 09:20:00,67.356,32.437,6.302,35.2859999999999,31.7789999999999,62.537,3.76666666666666,23.8530232558139,262.512
2021-12-09 09:30:00,67.365,32.4299999999999,6.157,35.263,31.794,61.947,4.05,23.8887499999999,284.115
2021-12-09 09:40:00,67.445,32.432,6.202,35.254,31.794,62.6319999999999,4.33333333333333,23.9345238095238,305.71799999999996
2021-12-09 09:50:00,67.298,32.424,6.071,35.2089999999999,31.758,61.27,4.61666666666666,23.8425641025641,327.32099999999997
2021-12-09 10:00:00,67.0329999999999,32.412,6.327,35.2279999999999,31.7789999999999,63.347,4.9,23.8959999999999,348.924
2021-12-09 10:10:00,66.833,32.421,6.28299999999999,35.243,31.778,62.2799999999999,5.11666666666666,23.8297435897435,363.67583333333334
2021-12-09 10:20:00,66.876,32.413,6.275,35.235,31.78,62.4,5.33333333333333,23.8133333333333,378.42766666666665
2021-12-09 10:30:00,67.2283333333333,32.3966666666666,6.12833333333333,35.1999999999999,31.7616666666666,61.9049999999999,5.55,23.81975,393.17949999999996
2021-12-09 10:40:00,68.1347916666666,32.3874999999999,6.18999999999999,35.3125,31.74625,62.87375,5.76666666666666,23.9345,407.9313333333333
2021-12-09 10:50:00,69.0412499999999,32.39,6.1525,35.32875,31.7537499999999,62.9587499999999,5.98333333333333,23.9547499999999,422.6831666666667
2021-12-09 11:00:00,69.21,32.41,6.38,35.3949999999999,31.78,64.535,6.2,23.7795,437.435
2021-12-09 11:10:00,69.347,32.406,6.214,35.412,31.776,62.873,6.4,23.7765,439.8876666666667
2021-12-09 11:20:00,69.5124999999999,32.4225,6.16875,35.415,31.8037499999999,63.0175,6.6,23.7976923076923,442.3403333333333
2021-12-09 11:30:00,69.576,32.458,6.271,35.45,31.7909999999999,63.302,6.8,23.81325,444.793
2021-12-09 11:40:00,69.6116666666666,32.4658333333333,6.25916666666666,35.4925,31.8133333333333,62.9375,7.0,23.9520512820512,447.2456666666667
2021-12-09 11:50:00,69.6825,32.4875,6.23499999999999,35.5075,31.82125,62.57625,7.2,23.9199999999999,449.6983333333333
2021-12-09 12:00:00,69.689,32.516,6.143,35.5169999999999,31.854,62.045,7.4,23.9655263157894,452.151
2021-12-09 12:10:00,69.606,32.5,6.089,35.445,31.856,62.7789999999999,7.5,23.9,444.6255
